Image_Index, Camera, Point_Index, X, Y
4, right, 27, 1477.6373, 1185.7203
4, right, 28, 1476.1481, 1118.9502
4, right, 29, 1474.8871, 1052.6536
4, right, 30, 1473.3083, 986.3564
4, right, 31, 1412.5903, 1321.6464
4, right, 32, 1411.6117, 1254.6958
4, right, 33, 1410.1337, 1187.3300
4, right, 34, 1409.2100, 1120.9100
4, right, 35, 1407.7848, 1054.3103
4, right, 36, 1406.4602, 988.1669
4, right, 37, 1344.9871, 1323.8480
4, right, 38, 1343.9410, 1256.1635
4, right, 39, 1342.9867, 1189.5134
4, right, 40, 1341.6152, 1122.7930
4, right, 41, 1340.9806, 1056.3108
4, right, 42, 1339.5321, 989.7990
4, right, 43, 1276.9119, 1325.6008
4, right, 44, 1276.2452, 1258.2861
4, right, 45, 1275.2886, 1191.2329
4, right, 46, 1275.0474, 1124.6523
4, right, 47, 1273.2898, 1057.9294
4, right, 48, 1272.2330, 991.6609
4, right, 49, 1208.6835, 1327.8182
4, right, 50, 1207.9412, 1260.2053
4, right, 51, 1207.6495, 1193.1740
4, right, 52, 1206.7053, 1126.1749
4, right, 53, 1205.9573, 1059.5049
4, right, 54, 1204.8967, 993.2199
5, left, 1, 2901.2183, 1699.8702
5, left, 2, 2896.5823, 1655.3558
5, left, 3, 2893.0000, 1613.0000
5, left, 4, 2888.8428, 1571.3356
5, left, 5, 2884.4507, 1529.6578
5, left, 6, 2880.4761, 1489.3519
5, left, 7, 2875.3179, 1687.0497
5, left, 8, 2871.0000, 1643.0000
5, left, 9, 2867.2847, 1599.5844
5, left, 10, 2863.0000, 1557.0000
5, left, 11, 2859.5283, 1515.4961
5, left, 12, 2856.2659, 1476.2170
5, left, 13, 2849.4431, 1675.1206
5, left, 14, 2845.1877, 1629.5585
5, left, 15, 2840.8813, 1585.3704
5, left, 16, 2837.7183, 1543.0518
5, left, 17, 2834.0000, 1501.0000
5, left, 18, 2830.9053, 1460.9713
5, left, 19, 2822.1177, 1660.8657
5, left, 20, 2819.0000, 1616.0000
5, left, 21, 2815.5110, 1572.4768
5, left, 22, 2812.0000, 1530.0000
5, left, 23, 2808.3940, 1487.1536
5, left, 24, 2804.5320, 1444.6122
5, left, 25, 2795.0000, 1648.0000
5, left, 26, 2791.2307, 1602.0522
5, left, 27, 2789.0000, 1559.0000
5, left, 28, 2785.4109, 1515.4456
5, left, 29, 2781.7566, 1471.2482
5, left, 30, 2779.4558, 1432.0490
5, left, 31, 2767.2776, 1634.4185
5, left, 32, 2764.0000, 1589.0000
5, left, 33, 2761.6865, 1544.5833
5, left, 34, 2759.0000, 1501.0000
5, left, 35, 2756.2065, 1458.6344
5, left, 36, 2753.4961, 1417.5179
5, left, 37, 2739.0000, 1621.0000
5, left, 38, 2736.3171, 1574.3735
5, left, 39, 2734.1968, 1530.7563
5, left, 40, 2731.5642, 1486.4330
5, left, 41, 2729.0000, 1444.0000
5, left, 42, 2726.6855, 1402.1873
5, left, 43, 2710.4031, 1606.4995
5, left, 44, 2707.7400, 1560.2299
5, left, 45, 2706.0081, 1515.8654
5, left, 46, 2704.0000, 1472.0000
